Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
IGE + XAO,FR0000030827,IGE,Euronext Paris,EUR,161,172,161,167,28/05/2019 17:29,CET,213,34583
ILIAD,FR0004035913,ILD,Euronext Paris,EUR,103.75,104.6,102.75,102.8,28/05/2019 17:35,CET,98805,10193476.35
IMALLIANCE,FR0010086371,MLIML,Euronext Access Paris,EUR,0.172,0.172,0.172,0.172,27/05/2019 11:30,CET,718,123.5
IMCD,NL0010801007,IMCD,Euronext Amsterdam,EUR,74.9,75.65,74.65,74.95,28/05/2019 17:35,CET,91193,6835392.7
IMERYS,FR0000120859,NK,Euronext Paris,EUR,39,39.72,39,39.26,28/05/2019 17:35,CET,224218,8817579.16
IMM.PARIS.PERLE,FR0006859039,MLIPP,Euronext Access Paris,EUR,51.5,51.5,51.5,51.5,08/04/2019 14:24,CET,1,51.5
IMMERSION,FR0013060100,ALIMR,Euronext Growth Paris,EUR,1.1,1.21,1.1,1.21,28/05/2019 16:30,CET,9807,10820.7
IMMO MCC,BE0974287196,MCC,Euronext Brussels,EUR,716.2,716.2,716.2,716.2,28/05/2019 11:30,CET,1,716.2
IMMO MOURY,BE0003893139,IMMOU,Euronext Brussels,EUR,50,50,50,50,28/05/2019 11:30,CET,30,1500
IMMOB.DASSAULT,FR0000033243,IMDA,Euronext Paris,EUR,65,66,64.5,66,28/05/2019 17:35,CET,265,17330.5
IMMOBEL,BE0003599108,IMMO,Euronext Brussels,EUR,59,59,58,58.6,28/05/2019 17:35,CET,1200,70201
IMOB.C GRAO PARA,PTGPA0AP0007,GPA,Euronext Lisbon,EUR,0.15,0.15,0.15,0.15,03/05/2019 20:30,BST,34,5.1
IMPLANET,FR0010458729,ALIMP,Euronext Growth Paris,EUR,0.11,0.112,0.106,0.112,28/05/2019 17:35,CET,222800,24056.08
"IMPRESA,SGPS",PTIPR0AM0000,IPR,Euronext Lisbon,EUR,0.1875,0.201,0.1855,0.201,28/05/2019 21:36,BST,538311,104748.76
IMPRIMERIE CHIRAT,FR0000065773,MLIMP,Euronext Access Paris,EUR,11.5,11.5,11.5,11.5,27/05/2019 16:30,CET,160,1840
INAPA-INV.P.GESTAO,PTINA0AP0008,INA,Euronext Lisbon,EUR,0.07,0.0728,0.07,0.0728,28/05/2019 13:49,BST,37448,2672.52
INAPA-PREF S/ VOTO,PTINA2VP0019,INAP,Euronext Lisbon,EUR,0.07,0.07,0.07,0.07,18/04/2019 15:30,BST,3363,235.41
IND. NEWS & MEDIA,IE00B59HWB19,IPDC,Euronext Dublin,EUR,0.102,0.1025,0.102,0.1025,28/05/2019 15:30,UTC,486635,49637.43
INDLE FIN.ENTREPR.,FR0000066219,INFE,Euronext Paris,EUR,45,45,45,45,28/05/2019 16:55,CET,295,13275
INFOCLIP,FR0011158823,MLIFC,Euronext Access Paris,EUR,2,2,2,2,27/05/2019 11:30,CET,54,108
INFOTEL,FR0000071797,INF,Euronext Paris,EUR,37.95,38.1,37.25,38.1,28/05/2019 17:35,CET,7554,285825.05
ING GROEP N.V.,NL0011821202,INGA,"Euronext Amsterdam, Brussels",EUR,9.785,9.877,9.636,9.82,28/05/2019 17:35,CET,17405153,170444228.99
INGENICO GROUP,FR0000125346,ING,Euronext Paris,EUR,72.8,73.3,72.08,72.08,28/05/2019 17:35,CET,399078,28885123.04
INNATE PHARMA,FR0010331421,IPH,Euronext Paris,EUR,5.81,6.05,5.76,6.05,28/05/2019 17:35,CET,190813,1126203.86
INNELEC MULTIMEDIA,FR0000064297,INN,Euronext Paris,EUR,5.22,5.26,5.08,5.08,28/05/2019 17:25,CET,2269,11725.94
INNOVADERMA PLC,GB00BT9PTW34,MLIDP,Euronext Access Paris,EUR,0.7,0.7,0.7,0.7,05/09/2016 15:00,CET,75,52.5
INSIDE SECURE,FR0010291245,INSD,Euronext Paris,EUR,1.386,1.448,1.368,1.444,28/05/2019 17:35,CET,64721,90888.45
INSTALLUX,FR0000060451,STAL,Euronext Paris,EUR,342,342,342,342,28/05/2019 11:30,CET,16,5472
INTEGRAGEN,FR0010908723,ALINT,Euronext Growth Paris,EUR,1.21,1.37,1.2,1.35,28/05/2019 17:12,CET,51324,65979.26
INTEL CORP,US4581401001,INCO,Traded not listed Brussels,USD,44,44,43.8,43.8,22/05/2019 17:35,CET,160,6287.71
INTERPARFUMS,FR0004024222,ITP,Euronext Paris,EUR,42.65,42.75,41.2,41.2,28/05/2019 17:35,CET,35058,1458237.5
INTERTRUST,NL0010937058,INTER,Euronext Amsterdam,EUR,16.97,17.09,16.8,17.07,28/05/2019 17:35,CET,470828,8030154.74
INTERVEST OFF-WARE,BE0003746600,INTO,Euronext Brussels,EUR,24.7,24.9,24.25,24.6,28/05/2019 17:35,CET,437776,10768924.5
INTEXA,FR0000064958,ITXT,Euronext Paris,EUR,2.5,2.5,2.5,2.5,13/05/2019 11:30,CET,6,15
INTLE PLANT.HEVEAS,FR0000036857,SIPH,Euronext Paris,EUR,80,80,80,80,27/05/2019 17:28,CET,4,320
INTRASENSE,FR0011179886,ALINS,Euronext Growth Paris,EUR,0.2345,0.239,0.229,0.229,28/05/2019 15:51,CET,1569,361.64
INVENTIVA,FR0013233012,IVA,Euronext Paris,EUR,2.37,2.43,2.33,2.4,28/05/2019 17:35,CET,8552,20384.72
INVIBES ADVERTSING,BE0974299316,ALINV,Euronext Growth Paris,EUR,4.98,4.98,4.98,4.98,28/05/2019 16:31,CET,9,44.82
IOC HOLDING,BE6200101556,MLIOC,Euronext Access Paris,EUR,0.23,0.23,0.23,0.23,20/05/2019 11:30,CET,659,151.57
IPSEN,FR0010259150,IPN,Euronext Paris,EUR,110.5,113.3,110.5,112.1,28/05/2019 17:35,CET,166938,18726700.3
IPSEN NV19,FR0013391661,IPNNV,Euronext Paris,EUR,-,-,-,-,-,-,-,-
IPSOS,FR0000073298,IPS,Euronext Paris,EUR,24.75,25.15,24.75,25.05,28/05/2019 17:35,CET,152320,3810713.65
IPSOS NV19,FR0013391687,IPSNV,Euronext Paris,EUR,-,-,-,-,-,-,-,-
IRISH CONT. GP.,IE00BLP58571,IR5B,Euronext Dublin,EUR,4.74,4.745,4.5,4.52,28/05/2019 15:30,UTC,158807,741206.88
IRISH RES. PROP.,IE00BJ34P519,IRES,Euronext Dublin,EUR,1.578,1.58,1.552,1.58,28/05/2019 09:24,UTC,564497,888938.35
ISA,PTIAN0AM0001,ALISA,Euronext Growth Lisbon,EUR,5.15,5.15,5.15,5.15,03/12/2013 20:30,BST,500,2575
IT LINK,FR0000072597,ITL,Euronext Paris,EUR,13.15,13.8,13.05,13.8,28/05/2019 17:35,CET,12020,161723.2
ITALY INNOVAZIONI,IT0005336521,MLITN,Euronext Access Paris,EUR,6.18,6.18,6.18,6.18,21/05/2019 16:30,CET,100,618
ITESOFT,FR0004026151,ITE,Euronext Paris,EUR,2.97,2.97,2.97,2.97,28/05/2019 09:00,CET,1,2.97
ITS GROUP,FR0000073843,ITS,Euronext Paris,EUR,4.79,4.81,4.79,4.81,28/05/2019 17:28,CET,827,3974.72
IVALIS,FR0010082305,ALIVA,Euronext Growth Paris,EUR,22,22,22,22,24/10/2017 17:38,CET,50,1100
"J.MARTINS,SGPS",PTJMT0AE0001,JMT,Euronext Lisbon,EUR,13.935,14.06,13.825,13.89,28/05/2019 21:35,BST,1347347,18786186.8
JACQUES BOGART,FR0012872141,JBOG,Euronext Paris,EUR,8.4,8.48,8.32,8.48,28/05/2019 15:26,CET,687,5794.76
JACQUET METAL SCE,FR0000033904,JCQ,Euronext Paris,EUR,16.8,17.26,16.66,17.2,28/05/2019 17:37,CET,47145,806726.24
JC DECAUX SA.,FR0000077919,DEC,Euronext Paris,EUR,25.22,25.78,25.22,25.64,28/05/2019 17:35,CET,235947,6040083.46
JENSEN-GROUP,BE0003858751,JEN,Euronext Brussels,EUR,33.3,33.3,33,33,28/05/2019 17:13,CET,2260,75004.7
JSA TECHNOLOGY,FR0010680033,MLJSA,Euronext Access Paris,EUR,0.68,0.68,0.68,0.68,27/05/2019 11:30,CET,1,0.68
KALRAY,FR0010722819,ALKAL,Euronext Growth Paris,EUR,16.9,16.9,16.4,16.5,28/05/2019 15:11,CET,609,10175.05
KARDAN,NL0000113652,KARD,Euronext Amsterdam,EUR,0.057,0.066,0.057,0.066,28/05/2019 17:27,CET,744792,46244.03
KAS BANK,NL0000362648,KA,Euronext Amsterdam,EUR,12.35,12.4,12.35,12.35,28/05/2019 17:35,CET,37291,462165.1
KAUFMAN ET BROAD,FR0004007813,KOF,Euronext Paris,EUR,32.5,32.5,32,32.22,28/05/2019 17:35,CET,27131,877423.66
KBC,BE0003565737,KBC,Euronext Brussels,EUR,60.34,60.82,59.52,60.7,28/05/2019 17:35,CET,858520,51874844.68
KBC ANCORA,BE0003867844,KBCA,Euronext Brussels,EUR,43.78,43.86,42.92,43.78,28/05/2019 17:35,CET,75010,3259836.18
KENDRION,NL0000852531,KENDR,Euronext Amsterdam,EUR,18.3,18.7,18.28,18.7,28/05/2019 17:35,CET,19483,363474.76
KENMARE RESOURCES,IE00BDC5DG00,KMR,Euronext Dublin,EUR,2.2,2.2,2.2,2.2,28/05/2019 10:42,UTC,12741,28030.2
KERING,FR0000121485,KER,Euronext Paris,EUR,488,490.2,479.25,479.25,28/05/2019 17:36,CET,470417,226587881.5
